topic,prompt_tokens_full,prompt_tokens_sent,total_tokens_full,total_tokens_sent,cost_full,cost_sent,latency_full,latency_sent,saving_pct_tokens,saving_pct_cost,total_time_pipeline
Fisica quantistica e informazione,1087,389,2015,706,0.00071985,0.00024855,20.03221368789673,9.625266790390015,64.96277915632754,99.975145,41.39304542541504
Applicazioni della meccanica quantistica nei semiconduttori,1121,273,2088,448,0.0007483499999999998,0.00014595,21.225122690200806,4.845883369445801,78.544061302682,99.985405,34.06060862541199
Entanglement quantistico e comunicazione sicura,1115,363,2079,619,0.0007456499999999999,0.00020805,28.778709173202515,5.753882169723511,70.22607022607022,99.979195,43.52224540710449
Teletrasporto quantistico e reti quantistiche,1229,226,2183,366,0.0007567499999999999,0.00011789999999999999,23.163151264190674,4.567293882369995,83.23408153916628,99.98821,35.95404291152954
Decoerenza e transizione classico-quantistica,1159,379,2174,672,0.0007828499999999999,0.00023264999999999996,23.92693781852722,7.676530838012695,69.08923643054278,99.976735,43.97871685028076
Teoria dei qubit e computazione quantistica,1134,450,2105,782,0.0007526999999999999,0.0002667,18.370651960372925,8.875026941299438,62.850356294536816,99.97333,41.689271211624146
Crittografia quantistica e protocolli QKD,1016,491,1870,865,0.0006648,0.00029804999999999995,17.816895961761475,9.321449995040894,53.74331550802138,99.97019499999999,42.324069023132324
Fisica dei condensati di Bose-Einstein,1285,208,2289,321,0.0007951499999999999,9.9e-05,27.24596118927002,3.9410088062286377,85.97640891218873,99.9901,39.09874677658081
Algoritmi di Shor e Grover nella computazione quantistica,1120,367,2062,618,0.0007331999999999999,0.00020564999999999998,23.86414861679077,6.2924699783325195,70.02909796314259,99.97943500000001,41.612645864486694
Quantum Machine Learning e intelligenza artificiale,1297,214,2327,333,0.00081255,0.00010349999999999998,23.20773720741272,3.9267635345458984,85.68972926514826,99.98965,35.61656880378723
Simulazione quantistica di sistemi complessi,1137,571,2115,1009,0.00075735,0.00034845,26.915475368499756,10.785940885543823,52.29314420803782,99.96515500000001,57.07241868972778
Quantum error correction e resilienza dei qubit,1085,459,2015,794,0.00072075,0.00026984999999999997,20.339850425720215,7.680911064147949,60.5955334987593,99.973015,41.802839517593384
Materiali topologici e qubit Majorana,1019,424,1865,736,0.0006604499999999999,0.00025079999999999997,27.10117197036743,3.4213624000549316,60.53619302949061,99.97492,40.05466604232788
Superconduttività quantistica e circuiti Josephson,1117,511,2090,893,0.00075135,0.00030585,24.8975567817688,10.11397933959961,57.27272727272727,99.969415,47.52359700202942
Ottica quantistica e fotonica integrata,1102,524,2061,935,0.0007407,0.0003252,25.304498434066772,9.344985485076904,54.63367297428432,99.96748,48.86565828323364
Misura debole e paradossi della meccanica quantistica,1194,366,2163,625,0.0007604999999999999,0.00021029999999999996,21.47010064125061,5.23790168762207,71.10494683310218,99.97897,38.341148853302
Quantum sensing e metrologia ad alta precisione,950,498,1747,897,0.0006207,0.0003141,16.32095193862915,17.693443298339844,48.65483686319405,99.96859,51.98028326034546
Effetti quantistici nella biologia molecolare,1113,430,2077,753,0.00074535,0.0002583,20.894798517227173,10.201680660247803,63.74578719306692,99.97417,39.32930135726929
Gravitazione quantistica e teoria delle stringhe,1142,469,2124,821,0.0007604999999999999,0.00028154999999999993,25.19724750518799,10.372793912887573,61.346516007532955,99.971845,48.97777223587036
Quantum annealing e ottimizzazione combinatoria,1076,382,1998,654,0.0007146,0.0002205,26.478293657302856,5.708327770233154,67.26726726726726,99.97795,42.997623682022095
Simulazione quantistica per la chimica computazionale,1087,407,2023,705,0.00072465,0.00023984999999999998,18.306126356124878,5.587697267532349,65.15076618882847,99.97601499999999,34.45772409439087
Ruolo dell’entropia nei sistemi quantistici aperti,1126,458,2045,801,0.0007202999999999999,0.0002745,23.478156089782715,7.2654078006744385,60.831295843520785,99.97255,43.293920040130615
Dinamica quantistica nei materiali bidimensionali,1259,282,2283,464,0.0008032499999999999,0.00015149999999999997,14.684787273406982,4.498992204666138,79.67586508979413,99.98485000000001,28.08599543571472
Interferenza quantistica e esperimento delle due fenditure,987,481,1817,879,0.00064605,0.00031095,14.474675178527832,10.63128399848938,51.62355531095212,99.96890499999999,42.9650354385376
Quantum supremacy: limiti e prospettive,1106,297,1988,491,0.0006950999999999999,0.00016094999999999998,23.914278030395508,4.231294631958008,75.30181086519114,99.983905,37.69352841377258
Applicazioni della fisica quantistica nella crittografia post-quantistica,1162,411,2155,702,0.0007700999999999999,0.00023624999999999997,19.867701530456543,5.71287727355957,67.4245939675174,99.97637499999999,36.45678639411926
Fisica quantistica e termodinamica dell’informazione,1097,437,2042,763,0.0007315499999999999,0.00026115,21.69351816177368,7.535051345825195,62.63467189030363,99.973885,41.90083146095276
Quantum coherence nei sistemi biologici,1126,309,2036,497,0.0007148999999999999,0.00015915,20.05101490020752,5.216092348098755,75.58939096267191,99.984085,35.442150831222534
Effetti quantistici nei sistemi di spin,1226,465,2266,809,0.0008079,0.00027614999999999996,26.485546588897705,7.7941367626190186,64.29832303618713,99.972385,56.51879143714905
Fisica quantistica e filosofia della misura,1175,203,2072,311,0.0007144499999999999,9.524999999999998e-05,27.03492498397827,2.5673768520355225,84.99034749034749,99.990475,36.821999311447144
